Project,Task,Changed files,TestI,TextI
https://github.com/EFForg/action-center-platform,175,"[app/controllers/admin/action_pages_controller.rb, app/controllers/admin/application_controller.rb, app/controllers/tools_controller.rb, app/models/action_page.rb, app/models/source_file.rb, config/application.rb, lib/tasks/signatures.rake, spec/controllers/tools_controller_spec.rb, spec/lib/call_tool_spec.rb, features/support/call_tool_mock.rb, features/step_definitions/user_steps.rb, features/support/env.rb, features/users/call_action.feature, features/users/call_action_custom_target.feature, spec/factories/call_campaigns.rb, app/assets/javascripts/application/tools/call.js, app/views/tools/_call.html.erb, config/routes.rb]","[app/controllers/admin/action_pages_controller.rb, app/models/action_page.rb, app/models/call_campaign.rb]",[config/routes.rb]
https://github.com/EFForg/action-center-platform,200,"[app/assets/stylesheets/application/_base.css.scss, app/controllers/action_page_controller.rb, app/controllers/admin/affiliation_types_controller.rb, app/controllers/admin/institutions_controller.rb, app/helpers/admin/affiliation_types_helper.rb, app/views/admin/action_pages/_panel_settings.html.erb, app/views/admin/affiliation_types/_form.html.erb, app/views/admin/affiliation_types/index.html.erb, app/views/admin/affiliation_types/new.html.erb, app/views/admin/institutions/index.html.erb, app/views/admin/institutions/new.html.erb, app/views/affiliations/_affiliation_fields.html.erb, app/views/tools/_affiliation_signatures.html.erb, config/routes.rb, features/admin_action_page/admin_affiliations.feature, spec/controllers/admin/affiliation_types_controller_spec.rb, spec/models/affiliation_spec.rb, spec/models/affiliation_type_spec.rb, spec/models/institution_spec.rb]","[app/controllers/admin/action_pages_controller.rb, app/controllers/admin/partners_controller.rb, app/controllers/admin/petitions_controller.rb, app/models/action_page.rb, app/models/partner.rb, app/models/signature.rb, app/models/user.rb, app/views/admin/_header.html.erb, app/views/admin/_nav_tabs.html.erb, app/views/admin/action_pages/_attached_image.html.erb, app/views/admin/action_pages/_date_range_form.html.erb, app/views/admin/action_pages/_date_vars.html.erb, app/views/admin/action_pages/_form.html.erb, app/views/admin/action_pages/_panel_analytics.html.erb, app/views/admin/action_pages/_panel_content.html.erb, app/views/admin/action_pages/_panel_email.html.erb, app/views/admin/action_pages/_panel_photos.html.erb, app/views/admin/action_pages/_panel_settings.html.erb, app/views/admin/action_pages/_panel_social.html.erb, app/views/admin/action_pages/_panel_victory.html.erb, app/views/admin/action_pages/_tab_buttons.html.erb, app/views/admin/action_pages/_top_bar_authoring_controls.html.erb, app/views/admin/action_pages/_tweet_target_image.html.erb, app/views/admin/action_pages/edit.html.erb, app/views/admin/partners/index.html.erb, app/views/admin/petitions/report.html.erb, app/views/admin/petitions/show.html.erb]","[app/assets/stylesheets/application.css.scss, config/routes.rb, db/schema.rb, features/step_definitions/user_steps.rb, features/users/achieve_petition_goal.feature, spec/factories/petitions.rb]"
https://github.com/EFForg/action-center-platform,206,"[Gemfile, Gemfile.lock, app/assets/javascripts/application.js, app/assets/javascripts/application/tools/petition.js, app/assets/stylesheets/action_page.css.scss, app/controllers/action_page_controller.rb, app/controllers/tools_controller.rb, app/models/action_page.rb, app/models/affiliation.rb, app/models/affiliation_type.rb, app/models/institution.rb, app/models/signature.rb, app/views/affiliations/_affiliation_fields.html.erb, app/views/tools/_petition.html.erb, app/views/tools/_petition_location.html.erb, app/views/tools/_signatures.html.erb, config/locales/en.yml, config/locales/es.yml, db/migrate/20160629191322_create_affiliation_types.rb, db/schema.rb, features/action_page/affiliation.feature, features/step_definitions/action_page_steps.rb, features/step_definitions/navigation_steps.rb, lib/tasks/petition.rake, spec/factories/affiliation_types.rb, spec/factories/affiliations.rb, spec/factories/petitions.rb, spec/models/affiliation_type_spec.rb]","[app/controllers/admin/action_pages_controller.rb, app/models/action_page.rb, app/models/affiliation_type.rb]",[spec/factories/users.rb]
https://github.com/EFForg/action-center-platform,221,"[app/assets/stylesheets/application.css.scss, app/assets/stylesheets/sessions.css.scss, app/controllers/admin/application_controller.rb, app/controllers/application_controller.rb, app/controllers/sessions_controller.rb, app/controllers/tools_controller.rb, app/models/user.rb, app/views/devise/registrations/edit.html.erb, app/views/devise/sessions/new.html.erb, app/views/sessions/password_reset.html.erb, config/routes.rb, db/migrate/20151212031318_add_password_expired_to_users.rb, db/schema.rb, features/step_definitions/user_steps.rb, features/support/env.rb, features/users/achieve_petition_goal.feature, features/users/promoted_users_lose_password.feature, spec/controllers/tools_controller_spec.rb, spec/factories/action_page.rb, spec/factories/petitions.rb, spec/factories/users.rb, spec/models/user_spec.rb, spec/spec_helper.rb]","[app/controllers/admin/action_pages_controller.rb, app/models/action_page.rb, app/models/petition.rb, app/models/user.rb, app/views/admin/_header.html.erb, app/views/admin/_nav_tabs.html.erb, app/views/admin/action_pages/_date_range_form.html.erb, app/views/admin/action_pages/_date_vars.html.erb, app/views/admin/action_pages/index.html.erb, lib/smarty_streets.rb]",[spec/factories/users.rb]
https://github.com/EFForg/action-center-platform,129,"[app/assets/stylesheets/admin/_users.css.scss, app/assets/stylesheets/admin/admin.css.scss, app/controllers/action_page_controller.rb, app/controllers/admin/action_pages_controller.rb, app/controllers/admin/application_controller.rb, app/controllers/admin/email_campaigns_controller.rb, app/controllers/admin/petitions_controller.rb, app/controllers/admin/users_controller.rb, app/helpers/admin/users_helper.rb, app/helpers/application_helper.rb, app/models/user.rb, app/views/admin/_nav_tabs.html.erb, app/views/admin/action_pages/_form.html.erb, app/views/admin/action_pages/_panel_action_pages.html.erb, app/views/admin/action_pages/_panel_analytics.html.erb, app/views/admin/action_pages/_panel_homepage_settings.html.erb, app/views/admin/action_pages/_panel_site_analytics.html.erb, app/views/admin/action_pages/_panel_topics.html.erb, app/views/admin/action_pages/_tab_buttons.html.erb, app/views/admin/action_pages/index.html.erb, app/views/admin/petitions/show.html.erb, app/views/admin/users/index.html.erb, app/views/layouts/application.html.erb, config/routes.rb, db/migrate/20161025215124_add_collaborator_to_users.rb, db/schema.rb, features/admin/users/make_collaborator.feature, features/step_definitions/admin/features_steps.rb, spec/controllers/action_page_controller_spec.rb, spec/controllers/admin/action_pages_controller_spec.rb, spec/controllers/admin/users_controller_spec.rb, spec/factories/users.rb, spec/spec_helper.rb]","[app/controllers/admin/users_controller.rb, app/models/user.rb, app/views/admin/_header.html.erb, app/views/admin/_nav_tabs.html.erb, app/views/admin/users/index.html.erb]","[app/models/user.rb, spec/factories/users.rb]"
https://github.com/EFForg/action-center-platform,134,"[app/views/layouts/application.html.erb, app/models/user.rb, features/admin/users/make_collaborator.feature, features/step_definitions/admin/features_steps.rb, spec/controllers/admin/action_pages_controller_spec.rb, app/views/admin/action_pages/_panel_action_pages.html.erb, app/views/admin/action_pages/_panel_homepage_settings.html.erb, app/views/admin/action_pages/_panel_site_analytics.html.erb, app/views/admin/action_pages/_panel_topics.html.erb, app/views/admin/action_pages/index.html.erb, app/controllers/admin/action_pages_controller.rb, app/controllers/admin/application_controller.rb, app/controllers/admin/email_campaigns_controller.rb, app/controllers/admin/petitions_controller.rb, app/views/admin/_nav_tabs.html.erb, app/views/admin/action_pages/_form.html.erb, app/views/admin/action_pages/_panel_analytics.html.erb, app/views/admin/action_pages/_tab_buttons.html.erb, app/views/admin/petitions/show.html.erb, app/helpers/application_helper.rb, app/controllers/action_page_controller.rb, spec/controllers/action_page_controller_spec.rb, spec/factories/users.rb, spec/spec_helper.rb, app/assets/stylesheets/admin/_users.css.scss, app/assets/stylesheets/admin/admin.css.scss, app/controllers/admin/users_controller.rb, app/helpers/admin/users_helper.rb, app/views/admin/users/index.html.erb, config/routes.rb, spec/controllers/admin/users_controller_spec.rb, db/migrate/20161025215124_add_collaborator_to_users.rb, db/schema.rb]","[app/controllers/admin/users_controller.rb, app/models/user.rb, app/views/admin/_header.html.erb, app/views/admin/_nav_tabs.html.erb, app/views/admin/users/index.html.erb]","[app/models/user.rb, features/step_definitions/user_steps.rb, spec/factories/users.rb]"
https://github.com/EFForg/action-center-platform,152,"[app/assets/javascripts/application/tools/call.js, features/support/env.rb, spec/lib/call_tool_spec.rb, app/assets/javascripts/admin/email_tabulation.js, app/controllers/congress_controller.rb, app/controllers/tools_controller.rb, app/models/congress_member.rb, db/migrate/20161018212449_create_congress_members.rb, db/schema.rb, lib/congress/member.rb, lib/tasks/congress.rake, spec/controllers/congress_controller_spec.rb, spec/lib/congress/member_spec.rb, spec/models/congress_member_spec.rb, app/views/tools/_call.html.erb, app/assets/javascripts/application/tools/email.js.erb, app/assets/javascripts/application/tools/tweet.js, features/step_definitions/user_steps.rb, features/support/call_tool_mock.rb, features/users/call_action.feature, spec/controllers/tools_controller_spec.rb, spec/lib/congress_spec.rb, lib/call_tool.rb, app/controllers/admin/petitions_controller.rb, config/routes.rb, Gemfile, Gemfile.lock, app/controllers/action_page_controller.rb, config/application.rb, config/secrets.yml, docker-compose.yml.example, lib/congress.rb, lib/smarty_streets.rb]","[app/controllers/admin/action_pages_controller.rb, app/controllers/smarty_streets_controller.rb, app/models/action_page.rb, app/models/call_campaign.rb, app/models/congress_member.rb]","[app/controllers/tools_controller.rb, config/routes.rb, features/step_definitions/user_steps.rb, features/support/env.rb]"
https://github.com/EFForg/action-center-platform,204,"[app/controllers/action_page_controller.rb, features/action_page/local_petition.feature, features/step_definitions/action_page_steps.rb, app/assets/javascripts/application/affiliations.js, app/views/affiliations/_affiliation_fields.html.erb, app/views/tools/_affiliation_signatures.html.erb, app/views/tools/_petition.html.erb, app/assets/javascripts/application.js, app/assets/javascripts/application/select2-utils.js, app/assets/javascripts/application/tools/petition.js]","[app/controllers/admin/action_pages_controller.rb, app/models/action_page.rb, app/models/affiliation_type.rb, app/models/institution.rb]","[app/assets/javascripts/application/tools/petition.js, app/assets/stylesheets/action_page.css.scss, app/controllers/action_page_controller.rb, app/views/affiliations/_affiliation_fields.html.erb, app/views/tools/_signatures.html.erb, features/step_definitions/action_page_steps.rb]"
https://github.com/EFForg/action-center-platform,223,"[app/controllers/action_page_controller.rb, app/models/user.rb, app/views/devise/mailer/reset_password_instructions.html.erb, app/views/devise/mailer/reset_password_instructions.text.erb, config/environments/test.rb, features/step_definitions/user_steps.rb, features/users/change_email.feature, spec/factories/users.rb, spec/models/user_spec.rb]","[app/controllers/admin/action_pages_controller.rb, app/controllers/admin/partners_controller.rb, app/controllers/admin/petitions_controller.rb, app/controllers/admin/topic_categories_controller.rb, app/controllers/admin/topic_sets_controller.rb, app/controllers/partners_controller.rb, app/controllers/users_controller.rb, app/models/partner.rb, app/models/signature.rb, app/models/user.rb, app/views/admin/_header.html.erb, app/views/admin/_nav_tabs.html.erb, app/views/admin/action_pages/_attached_image.html.erb, app/views/admin/action_pages/_date_range_form.html.erb, app/views/admin/action_pages/_date_vars.html.erb, app/views/admin/action_pages/_form.html.erb, app/views/admin/action_pages/_panel_analytics.html.erb, app/views/admin/action_pages/_panel_content.html.erb, app/views/admin/action_pages/_panel_email.html.erb, app/views/admin/action_pages/_panel_photos.html.erb, app/views/admin/action_pages/_panel_settings.html.erb, app/views/admin/action_pages/_panel_social.html.erb, app/views/admin/action_pages/_panel_victory.html.erb, app/views/admin/action_pages/_tab_buttons.html.erb, app/views/admin/action_pages/_top_bar_authoring_controls.html.erb, app/views/admin/action_pages/_tweet_target_image.html.erb, app/views/admin/action_pages/edit.html.erb, app/views/admin/partners/_form.html.erb, app/views/admin/partners/edit.html.erb, app/views/admin/partners/index.html.erb, app/views/admin/petitions/report.html.erb, app/views/admin/petitions/show.html.erb, app/views/devise/passwords/edit.html.erb, app/views/devise/registrations/edit.html.erb, app/views/devise/shared/_links.erb, app/views/partners/_form.html.erb, app/views/partners/edit.html.erb, app/views/users/edit.html.erb]",[spec/factories/users.rb]
https://github.com/alphagov/e-petitions,59,"[app/controllers/local_petitions_controller.rb, app/helpers/cache_helper.rb, app/views/local_petitions/all.csv.ruby, app/views/local_petitions/all.html.erb, app/views/local_petitions/show.csv.ruby, app/views/local_petitions/show.html.erb, features/freya_searches_for_petitions_by_constituency.feature, features/step_definitions/constituency_search_steps.rb, spec/helpers/cache_helper_spec.rb, spec/requests/disallowed_format_spec.rb, app/views/local_petitions/_petitions.json.jbuilder, app/views/local_petitions/all.json.jbuilder, app/views/local_petitions/show.json.jbuilder, features/support/paths.rb, app/models/petition.rb, config/fragments.yml, spec/models/petition_spec.rb]","[app/controllers/admin/searches_controller.rb, app/models/admin_user.rb, app/models/feedback_signature.rb, app/models/petition.rb, app/models/signature.rb, app/models/staged/base/petition.rb, app/models/staged/petition_creator/petition.rb, app/models/staged/petition_creator/stages.rb, app/models/staged/petition_signer/stages.rb, lib/postcode_sanitizer.rb]","[config/routes.rb, features/support/paths.rb]"
